Year,China,USA,Russia
1980,305.35,2857.31,462.21
1981,288.02,3207.04,468.54
1982,281.94,3345.01,472.89
1983,300.72,3634.04,487.23
1984,308.59,4037.61,492.56
1985,306.67,4338.98,499.01
1986,297.83,4579.63,508.75
1987,270.37,4855.22,517.43
1988,309.52,5236.44,526.89
1989,343.97,5641.58,539.67
1990,356.94,5963.14,516.81
1991,379.47,6158.13,509.38
1992,422.66,6520.33,460.21
1993,440.50,6858.56,435.06
1994,559.23,7287.09,395.09
1995,728.01,7639.75,395.53
1996,856.08,8073.12,391.72
1997,952.65,8577.55,404.93
1998,1019.46,9062.82,270.95
1999,1083.28,9630.66,195.91
2000,1211.35,10252.35,259.71
2001,1339.40,10581.82,306.60
2002,1470.55,10936.42,345.47
2003,1660.29,11458.24,430.35
2004,1955.35,12213.73,591.02
2005,2285.97,13036.64,764.02
2006,2752.13,13814.61,989.93
2007,3550.34,14451.86,1299.71
2008,4594.31,14712.84,1660.85
2009,5101.70,14448.93,1222.64
2010,6087.16,14992.05,1524.92
2011,7551.50,15542.58,2051.66
2012,8532.23,16197.01,2210.26
2013,9570.41,16784.85,2297.13
2014,10475.68,17521.75,2059.24
2015,11061.55,18219.30,1363.59
2016,11233.28,18707.19,1276.79
2017,12310.41,19485.39,1574.20
2018,13894.82,20494.10,1657.55
2019,14342.90,21372.60,1687.45
2020,14722.73,20932.75,1483.50
