Year,China,USA,Russia
1980,305.39,2862.53,1.48
1981,289.23,3128.42,1.63
1982,298.78,3132.36,1.93
1983,304.91,3534.62,2.31
1984,301.16,3976.54,2.71
1985,311.23,4217.49,2.8
1986,301.4,4414.16,2.89
1987,345.12,4639.42,2.83
1988,399.22,5103.82,2.9
1989,453.18,5426.09,3.03
1990,338.83,5963.05,3.38
1991,403.32,6158.43,3.47
1992,478.79,6539.31,3.49
1993,600.01,6879.83,3.55
1994,713.94,7308.85,3.65
1995,727.98,7664.06,3.81
1996,817.24,8100.17,3.92
1997,901.99,8528.72,4.01
1998,1019.5,8789.65,4.05
1999,1099.29,9268.41,4.02
2000,1211.3,9951.46,3.87
2001,1339.61,10286.18,3.78
2002,1470.56,10642.28,3.71
2003,1660.65,11142.16,3.91
2004,1954.31,11867.8,4.67
2005,2286.41,12594.46,5.31
2006,2752.7,13254.12,6.41
2007,3558.51,13841.87,7.18
2008,4559.36,14228.18,7.63
2009,4990.85,13938.26,6.74
2010,5930.53,14491.8,7.85
2011,7322.97,14711.18,9.26
2012,8530.49,14810.12,11.07
2013,9490.16,14873.95,12.65
2014,10380.38,14964.42,12.52
2015,11065.3,14937.44,11.11
2016,11199.15,14951.96,10.46
2017,12141.72,15352.57,11.64
2018,13608.15,15460.59,12.13
2019,14342.91,15551.65,11.66
2020,14723.19,14864.55,10.12
